RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
2,4,111,11,8500,13.9,9.1,8.1,13.9020979020979,13.8741258741259,105.748251748252
13,4,112,11.5,8200,15.4,9.2,6.9,20.8881118881119,20.8881118881119,109.503496503497
1.5,4,131,14.6,7900,17.8,11.6,9.6,21.3216783216783,21.041958041958,107.734265734266
0,0,119,19.9,5500,26.6,12.5,9.5,41.2937062937063,39.1608391608392,103.685314685315
2.9,4,116,18.6,5500,22.7,13.1,12.5,36,33,100.517482517483
0.3,4,140,16.9,7500,22.7,11.5,9.8,25.7832167832168,23.7342657342657,98.965034965035
4.8,4,107,13.4,7000,20.2,8.6,6.8,23.1468531468531,22.6923076923077,97.965034965035
0.1,4,83,10.6,6600,15.7,7.2,4.4,23.2167832167832,19.6643356643357,96.2447552447552
0,0,104,12.7,6900,15.3,9,5.9,18,15.2587412587413,95.5944055944056
0,0,139,16,7700,20.3,12.8,12.1,22.006993006993,17.9160839160839,94.0699300699301
0,0,144,19,6700,24.4,13.3,9.8,38.986013986014,30.6083916083916,92.013986013986
1.4,4,95,13.9,6000,18,8.9,8.4,30.9090909090909,24.7202797202797,90.3146853146853
7.6,4,87,8.2,8100,13.4,4.5,4,23.1118881118881,23.041958041958,92.3076923076923
5.6,4,82,7.1,8100,10.9,4.3,2.4,18.2307692307692,18.2237762237762,96.7482517482517
2.5,4,77,5.4,8700,9.5,2.3,-0.5,14.8111888111888,14.5594405594406,97.8601398601399
5.4,4,71,7.8,6900,12.8,4,3.5,20.4055944055944,19.6993006993007,96.6433566433566
15.9,4,88,7.1,8800,10.3,5,3.4,22.0559440559441,22.0559440559441,103.202797202797
8.5,4,81,6.2,8600,10.4,3.9,1.8,18.9020979020979,18.7902097902098,103.706293706294
0,4,61,5.6,6900,10.5,1.8,0.1,21.2797202797203,21.1958041958042,102.048951048951
5.1,4,67,4.6,8000,8.8,1.8,-0.4,19,18.020979020979,100.335664335664
0.8,4,58,6.1,6400,10.7,-0.4,-1.9,22.993006993007,21.5594405594406,98.4895104895105
6.4,4,76,5.2,8600,9.8,3.6,2.9,19.006993006993,18.9300699300699,99.2587412587413
0.5,4,71,6.7,7400,10.4,3.3,2.3,18.3916083916084,17.9510489510489,98.4405594405594
0.2,4,84,9.1,7200,12,7,5.5,20.993006993007,19.2097902097902,97.8391608391608
0,0,101,13.6,6600,20.3,5.8,3.2,28.3356643356643,25.8391608391608,96.2237762237762
0.1,4,102,14.9,6000,19.6,9.2,5.5,32.7342657342657,28.7132867132867,94.3846153846154
0.1,4,103,15.1,6200,20.9,8.3,5.2,34.6363636363636,28.0769230769231,92.4755244755245
0,0,131,18.9,6100,25.2,12.6,11,39,31,90.2237762237762
0,0,156,20.5,6700,27.3,13,10,45.7482517482517,36,87.8811188811189
18.8,4,148,19.1,6900,25.7,13.6,11.6,41.0979020979021,36.5174825174825,94.3706293706294
1.8,4,123,11.6,9000,13.7,8.8,6.7,18.7972027972028,18.0979020979021,97.3006993006993
11.2,4,110,12.7,7700,17.9,8,5.8,25.0629370629371,24.0559440559441,98.0909090909091
0,0,115,12.4,8100,17,9.9,8.8,23,22.7902097902098,97.6713286713287
7.5,4,127,14.2,7900,18.8,10.7,8.1,22.027972027972,19.4545454545455,100.797202797203
0,0,127,14.5,7800,18.9,10.8,10.3,21.5314685314685,19.3776223776224,99.5034965034965
0,0,122,13.9,7800,18.1,10.1,7.1,26.1888111888112,23,96.7622377622378
0,0,116,15,7100,21,8.2,5.5,34.1818181818182,29,93.6993006993007
